Cancer group/site,Year,Sex,Age group (years),Age Group,Count,"Age-specific rate
(per 100,000)"
string,number,number,string,string,number,number
Melanoma of the skin,2017,Persons,65?69,65 - 69,1950,163.4
Melanoma of the skin,2017,Persons,70?74,70 - 74,2026,211.5
Melanoma of the skin,2017,Persons,75?79,75 - 79,1529,225.8
Melanoma of the skin,2017,Persons,80?84,80 - 84,1156,246.4
Melanoma of the skin,2017,Persons,85?89,85 - 89,808,262.6
Melanoma of the skin,2017,Persons,90+,44690,424,229
Melanoma of the skin,2017,Persons,All ages combined,All - combined,14915,60.6
Melanoma of the skin,2018,Persons,00?04,44690,0,0
Melanoma of the skin,2018,Persons,05?09,44690,1,0.1
Melanoma of the skin,2018,Persons,10?14,44848,6,0.4
Melanoma of the skin,2018,Persons,15?19,15 - 19,33,2.2
Melanoma of the skin,2018,Persons,20?24,20 - 24,115,6.6
Melanoma of the skin,2018,Persons,25?29,25 - 29,210,11.2
Melanoma of the skin,2018,Persons,30?34,30 - 34,361,19.4
Melanoma of the skin,2018,Persons,35?39,44690,499,29
Melanoma of the skin,2018,Persons,40?44,44690,669,42
Melanoma of the skin,2018,Persons,45?49,45 - 49,976,58.4
Melanoma of the skin,2018,Persons,50?54,50 - 54,1145,74.9
Melanoma of the skin,2018,Persons,55?59,55 - 59,1479,96.7
Melanoma of the skin,2018,Persons,60?64,60 - 64,1729,127.2
Melanoma of the skin,2018,Persons,65?69,65 - 69,1932,160.1
Melanoma of the skin,2018,Persons,70?74,70 - 74,2031,199.7
Melanoma of the skin,2018,Persons,75?79,75 - 79,1653,236.1
Melanoma of the skin,2018,Persons,80?84,44690,1200,247
Melanoma of the skin,2018,Persons,85?89,85 - 89,844,272.5
Melanoma of the skin,2018,Persons,90+,90 - 90+,463,239.5
Melanoma of the skin,2018,Persons,All ages combined,All - combined,15346,61.4
Melanoma of the skin,2019,Persons,00?04,00 - 04,2,0.1
Melanoma of the skin,2019,Persons,05?09,44690,0,0
Melanoma of the skin,2019,Persons,10?14,44848,3,0.2
Melanoma of the skin,2019,Persons,15?19,15 - 19,27,1.8
Melanoma of the skin,2019,Persons,20?24,20 - 24,98,5.6
Melanoma of the skin,2019,Persons,25?29,44690,209,11
Melanoma of the skin,2019,Persons,30?34,30 - 34,368,19.4
Melanoma of the skin,2019,Persons,35?39,44690,499,28
Melanoma of the skin,2019,Persons,40?44,40 - 44,677,42.4
Melanoma of the skin,2019,Persons,45?49,45 - 49,994,59.2
Melanoma of the skin,2019,Persons,50?54,50 - 54,1155,75.2
Melanoma of the skin,2019,Persons,55?59,44690,1502,97
Melanoma of the skin,2019,Persons,60?64,44690,1754,126
Melanoma of the skin,2019,Persons,65?69,65 - 69,2090,170.3
Melanoma of the skin,2019,Persons,70?74,70 - 74,2211,208.9
Melanoma of the skin,2019,Persons,75?79,75 - 79,1753,238.7
Melanoma of the skin,2019,Persons,80?84,80 - 84,1279,253.2
Melanoma of the skin,2019,Persons,85?89,85 - 89,875,278.8
Melanoma of the skin,2019,Persons,90+,90 - 90+,493,245.1
Melanoma of the skin,2019,Persons,All ages combined,44690,15989,63
Melanoma of the skin,2020,Persons,00?04,00 - 04,2,0.1
Melanoma of the skin,2020,Persons,05?09,44690,0,0
Melanoma of the skin,2020,Persons,10?14,44848,2,0.1
Melanoma of the skin,2020,Persons,15?19,15 - 19,26,1.7
Melanoma of the skin,2020,Persons,20?24,20 - 24,93,5.4
Melanoma of the skin,2020,Persons,25?29,25 - 29,202,10.6
Melanoma of the skin,2020,Persons,30?34,30 - 34,371,19.3
Melanoma of the skin,2020,Persons,35?39,35 - 39,510,27.8
Melanoma of the skin,2020,Persons,40?44,40 - 44,692,42.7
Melanoma of the skin,2020,Persons,45?49,45 - 49,1009,60.2
Melanoma of the skin,2020,Persons,50?54,50 - 54,1190,76.1
Melanoma of the skin,2020,Persons,55?59,55 - 59,1527,98.1
Melanoma of the skin,2020,Persons,60?64,44690,1826,127
Melanoma of the skin,2020,Persons,65?69,65 - 69,2180,173.1
Melanoma of the skin,2020,Persons,70?74,70 - 74,2351,212.7
Melanoma of the skin,2020,Persons,75?79,75 - 79,1884,243.4
Melanoma of the skin,2020,Persons,80?84,80 - 84,1358,256.9
Melanoma of the skin,2020,Persons,85?89,85 - 89,905,284.4
Melanoma of the skin,2020,Persons,90+,90 - 90+,525,248.9
Melanoma of the skin,2020,Persons,All ages combined,All - combined,16653,64.8
Melanoma of the skin,2021,Persons,00?04,00 - 04,1,0.1
Melanoma of the skin,2021,Persons,05?09,44690,0,0
Melanoma of the skin,2021,Persons,10?14,44848,2,0.1
Melanoma of the skin,2021,Persons,15?19,15 - 19,23,1.6
Melanoma of the skin,2021,Persons,20?24,20 - 24,86,5.3
Melanoma of the skin,2021,Persons,25?29,25 - 29,188,10.2
Melanoma of the skin,2021,Persons,30?34,30 - 34,367,19.2
Melanoma of the skin,2021,Persons,35?39,35 - 39,515,27.6
Melanoma of the skin,2021,Persons,40?44,44690,709,43
Melanoma of the skin,2021,Persons,45?49,45 - 49,1006,61.2
Melanoma of the skin,2021,Persons,50?54,44690,1235,77
Melanoma of the skin,2021,Persons,55?59,55 - 59,1529,99.4
Melanoma of the skin,2021,Persons,60?64,60 - 64,1872,128.2
Melanoma of the skin,2021,Persons,65?69,65 - 69,2250,176.1
Melanoma of the skin,2021,Persons,70?74,70 - 74,2464,216.5
Melanoma of the skin,2021,Persons,75?79,75 - 79,2020,248.1
Melanoma of the skin,2021,Persons,80?84,80 - 84,1433,260.8
Melanoma of the skin,2021,Persons,85?89,85 - 89,946,289.5
Melanoma of the skin,2021,Persons,90+,90 - 90+,561,252.8
Melanoma of the skin,2021,Persons,All ages combined,All - combined,17207,66.9
Melanoma of the skin,2022,Persons,00?04,00 - 04,1,0.1
Melanoma of the skin,2022,Persons,05?09,44690,0,0
Melanoma of the skin,2022,Persons,10?14,44848,2,0.1
Melanoma of the skin,2022,Persons,15?19,15 - 19,22,1.4
Melanoma of the skin,2022,Persons,20?24,20 - 24,85,5.2
Melanoma of the skin,2022,Persons,25?29,25 - 29,180,9.8
Melanoma of the skin,2022,Persons,30?34,44690,364,19
Melanoma of the skin,2022,Persons,35?39,35 - 39,515,27.4
Melanoma of the skin,2022,Persons,40?44,40 - 44,729,43.2
Melanoma of the skin,2022,Persons,45?49,45 - 49,1001,62.2
Melanoma of the skin,2022,Persons,50?54,50 - 54,1275,77.8
Melanoma of the skin,2022,Persons,55?59,55 - 59,1528,100.5
Melanoma of the skin,2022,Persons,60?64,60 - 64,1922,129.3
Melanoma of the skin,2022,Persons,65?69,65 - 69,2333,178.9
Melanoma of the skin,2022,Persons,70?74,70 - 74,2508,220.1
Melanoma of the skin,2022,Persons,75?79,75 - 79,2214,252.7
Melanoma of the skin,2022,Persons,80?84,80 - 84,1514,264.6
Melanoma of the skin,2022,Persons,85?89,85 - 89,998,295.2
Melanoma of the skin,2022,Persons,90+,44690,565,255
Melanoma of the skin,2022,Persons,All ages combined,All - combined,17756,68.5
Non-melanoma skin cancer (rare types),2002,Males,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2002,Males,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2002,Males,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2002,Males,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2002,Males,20?24,20 - 24,1,0.1
Non-melanoma skin cancer (rare types),2002,Males,25?29,25 - 29,4,0.6
Non-melanoma skin cancer (rare types),2002,Males,30?34,30 - 34,1,0.1
Non-melanoma skin cancer (rare types),2002,Males,35?39,35 - 39,4,0.5
Non-melanoma skin cancer (rare types),2002,Males,40?44,40 - 44,7,0.9
Non-melanoma skin cancer (rare types),2002,Males,45?49,45 - 49,9,1.3
Non-melanoma skin cancer (rare types),2002,Males,50?54,50 - 54,16,2.5
Non-melanoma skin cancer (rare types),2002,Males,55?59,44690,22,4
Non-melanoma skin cancer (rare types),2002,Males,60?64,60 - 64,22,5.2
Non-melanoma skin cancer (rare types),2002,Males,65?69,65 - 69,27,7.9
Non-melanoma skin cancer (rare types),2002,Males,70?74,70 - 74,57,18.9
Non-melanoma skin cancer (rare types),2002,Males,75?79,75 - 79,61,26.4
Non-melanoma skin cancer (rare types),2002,Males,80?84,80 - 84,65,47.9
Non-melanoma skin cancer (rare types),2002,Males,85?89,85 - 89,34,55.4
Non-melanoma skin cancer (rare types),2002,Males,90+,90 - 90+,13,55.9
Non-melanoma skin cancer (rare types),2002,Males,All ages combined,All - combined,343,3.5
Non-melanoma skin cancer (rare types),2003,Males,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2003,Males,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2003,Males,10?14,44848,1,0.1
Non-melanoma skin cancer (rare types),2003,Males,15?19,15 - 19,2,0.3
Non-melanoma skin cancer (rare types),2003,Males,20?24,44690,0,0
Non-melanoma skin cancer (rare types),2003,Males,25?29,25 - 29,1,0.1
Non-melanoma skin cancer (rare types),2003,Males,30?34,30 - 34,1,0.1
Non-melanoma skin cancer (rare types),2003,Males,35?39,35 - 39,6,0.8
Non-melanoma skin cancer (rare types),2003,Males,40?44,40 - 44,7,0.9
Non-melanoma skin cancer (rare types),2003,Males,45?49,45 - 49,12,1.7
Non-melanoma skin cancer (rare types),2003,Males,50?54,50 - 54,20,3.1
Non-melanoma skin cancer (rare types),2003,Males,55?59,44690,23,4
Non-melanoma skin cancer (rare types),2003,Males,60?64,60 - 64,29,6.7
Non-melanoma skin cancer (rare types),2003,Males,65?69,65 - 69,33,9.4
Non-melanoma skin cancer (rare types),2003,Males,70?74,70 - 74,44,14.7
Non-melanoma skin cancer (rare types),2003,Males,75?79,44690,50,21
Non-melanoma skin cancer (rare types),2003,Males,80?84,80 - 84,54,37.5
Non-melanoma skin cancer (rare types),2003,Males,85?89,85 - 89,23,36.6
Non-melanoma skin cancer (rare types),2003,Males,90+,90 - 90+,11,45.2
Non-melanoma skin cancer (rare types),2003,Males,All ages combined,All - combined,317,3.2
Non-melanoma skin cancer (rare types),2004,Males,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2004,Males,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2004,Males,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2004,Males,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2004,Males,20?24,20 - 24,2,0.3
Non-melanoma skin cancer (rare types),2004,Males,25?29,25 - 29,1,0.1
Non-melanoma skin cancer (rare types),2004,Males,30?34,30 - 34,3,0.4
Non-melanoma skin cancer (rare types),2004,Males,35?39,35 - 39,8,1.1
Non-melanoma skin cancer (rare types),2004,Males,40?44,40 - 44,8,1.1
Non-melanoma skin cancer (rare types),2004,Males,45?49,45 - 49,9,1.3
Non-melanoma skin cancer (rare types),2004,Males,50?54,50 - 54,12,1.8
Non-melanoma skin cancer (rare types),2004,Males,55?59,55 - 59,32,5.4
Non-melanoma skin cancer (rare types),2004,Males,60?64,60 - 64,28,6.2
Non-melanoma skin cancer (rare types),2004,Males,65?69,65 - 69,37,10.2
Non-melanoma skin cancer (rare types),2004,Males,70?74,70 - 74,49,16.5
Non-melanoma skin cancer (rare types),2004,Males,75?79,44690,56,23
Non-melanoma skin cancer (rare types),2004,Males,80?84,80 - 84,60,39.4
Non-melanoma skin cancer (rare types),2004,Males,85?89,85 - 89,44,68.6
Non-melanoma skin cancer (rare types),2004,Males,90+,44690,19,74
Non-melanoma skin cancer (rare types),2004,Males,All ages combined,All - combined,368,3.7
Non-melanoma skin cancer (rare types),2005,Males,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2005,Males,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2005,Males,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2005,Males,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2005,Males,20?24,44690,0,0
Non-melanoma skin cancer (rare types),2005,Males,25?29,25 - 29,1,0.1
Non-melanoma skin cancer (rare types),2005,Males,30?34,30 - 34,1,0.1
Non-melanoma skin cancer (rare types),2005,Males,35?39,35 - 39,3,0.4
Non-melanoma skin cancer (rare types),2005,Males,40?44,40 - 44,4,0.5
Non-melanoma skin cancer (rare types),2005,Males,45?49,45 - 49,12,1.7
Non-melanoma skin cancer (rare types),2005,Males,50?54,44690,13,2
Non-melanoma skin cancer (rare types),2005,Males,55?59,55 - 59,21,3.4
Non-melanoma skin cancer (rare types),2005,Males,60?64,60 - 64,24,5.1
Non-melanoma skin cancer (rare types),2005,Males,65?69,44690,30,8
Non-melanoma skin cancer (rare types),2005,Males,70?74,70 - 74,36,12.1
Non-melanoma skin cancer (rare types),2005,Males,75?79,44690,89,36
Non-melanoma skin cancer (rare types),2005,Males,80?84,80 - 84,62,39.2
Non-melanoma skin cancer (rare types),2005,Males,85?89,85 - 89,43,62.1
Non-melanoma skin cancer (rare types),2005,Males,90+,90 - 90+,16,58.7
Non-melanoma skin cancer (rare types),2005,Males,All ages combined,All - combined,355,3.5
Non-melanoma skin cancer (rare types),2006,Males,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2006,Males,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2006,Males,10?14,44848,2,0.3
Non-melanoma skin cancer (rare types),2006,Males,15?19,15 - 19,2,0.3
Non-melanoma skin cancer (rare types),2006,Males,20?24,20 - 24,1,0.1
Non-melanoma skin cancer (rare types),2006,Males,25?29,25 - 29,1,0.1
Non-melanoma skin cancer (rare types),2006,Males,30?34,30 - 34,2,0.3
Non-melanoma skin cancer (rare types),2006,Males,35?39,35 - 39,3,0.4
Non-melanoma skin cancer (rare types),2006,Males,40?44,40 - 44,4,0.5
Non-melanoma skin cancer (rare types),2006,Males,45?49,45 - 49,9,1.2
Non-melanoma skin cancer (rare types),2006,Males,50?54,50 - 54,14,2.1
Non-melanoma skin cancer (rare types),2006,Males,55?59,55 - 59,17,2.7
Non-melanoma skin cancer (rare types),2006,Males,60?64,60 - 64,32,6.5
Non-melanoma skin cancer (rare types),2006,Males,65?69,65 - 69,41,10.7
Non-melanoma skin cancer (rare types),2006,Males,70?74,70 - 74,55,18.3
Non-melanoma skin cancer (rare types),2006,Males,75?79,75 - 79,56,22.4
Non-melanoma skin cancer (rare types),2006,Males,80?84,80 - 84,78,47.4
Non-melanoma skin cancer (rare types),2006,Males,85?89,85 - 89,49,65.7
Non-melanoma skin cancer (rare types),2006,Males,90+,90 - 90+,16,55.9
Non-melanoma skin cancer (rare types),2006,Males,All ages combined,All - combined,382,3.8
Non-melanoma skin cancer (rare types),2007,Males,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2007,Males,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2007,Males,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2007,Males,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2007,Males,20?24,20 - 24,1,0.1
Non-melanoma skin cancer (rare types),2007,Males,25?29,25 - 29,2,0.3
Non-melanoma skin cancer (rare types),2007,Males,30?34,30 - 34,1,0.1
Non-melanoma skin cancer (rare types),2007,Males,35?39,35 - 39,3,0.4
Non-melanoma skin cancer (rare types),2007,Males,40?44,40 - 44,7,0.9
Non-melanoma skin cancer (rare types),2007,Males,45?49,45 - 49,17,2.3
Non-melanoma skin cancer (rare types),2007,Males,50?54,50 - 54,21,3.1
Non-melanoma skin cancer (rare types),2007,Males,55?59,55 - 59,35,5.6
Non-melanoma skin cancer (rare types),2007,Males,60?64,60 - 64,38,7.2
Non-melanoma skin cancer (rare types),2007,Males,65?69,65 - 69,30,7.6
Non-melanoma skin cancer (rare types),2007,Males,70?74,70 - 74,50,16.2
Non-melanoma skin cancer (rare types),2007,Males,75?79,75 - 79,65,25.9
Non-melanoma skin cancer (rare types),2007,Males,80?84,80 - 84,73,42.9
Non-melanoma skin cancer (rare types),2007,Males,85?89,85 - 89,53,65.7
Non-melanoma skin cancer (rare types),2007,Males,90+,90 - 90+,20,66.1
Non-melanoma skin cancer (rare types),2007,Males,All ages combined,44690,416,4
Non-melanoma skin cancer (rare types),2008,Males,00?04,00 - 04,1,0.1
Non-melanoma skin cancer (rare types),2008,Males,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2008,Males,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2008,Males,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2008,Males,20?24,44690,0,0
Non-melanoma skin cancer (rare types),2008,Males,25?29,25 - 29,2,0.3
Non-melanoma skin cancer (rare types),2008,Males,30?34,30 - 34,4,0.5
Non-melanoma skin cancer (rare types),2008,Males,35?39,35 - 39,6,0.8
Non-melanoma skin cancer (rare types),2008,Males,40?44,40 - 44,5,0.7
Non-melanoma skin cancer (rare types),2008,Males,45?49,45 - 49,10,1.3
Non-melanoma skin cancer (rare types),2008,Males,50?54,50 - 54,11,1.6
Non-melanoma skin cancer (rare types),2008,Males,55?59,55 - 59,36,5.7
Non-melanoma skin cancer (rare types),2008,Males,60?64,60 - 64,30,5.4
Non-melanoma skin cancer (rare types),2008,Males,65?69,44690,33,8
Non-melanoma skin cancer (rare types),2008,Males,70?74,70 - 74,69,21.7
Non-melanoma skin cancer (rare types),2008,Males,75?79,75 - 79,57,22.7
Non-melanoma skin cancer (rare types),2008,Males,80?84,80 - 84,57,32.4
Non-melanoma skin cancer (rare types),2008,Males,85?89,85 - 89,59,68.6
Non-melanoma skin cancer (rare types),2008,Males,90+,90 - 90+,22,70.3
Non-melanoma skin cancer (rare types),2008,Males,All ages combined,All - combined,402,3.8
Non-melanoma skin cancer (rare types),2009,Males,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2009,Males,05?09,44690,1,0.1
Non-melanoma skin cancer (rare types),2009,Males,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2009,Males,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2009,Males,20?24,44690,0,0
Non-melanoma skin cancer (rare types),2009,Males,25?29,25 - 29,2,0.2
Non-melanoma skin cancer (rare types),2009,Males,30?34,30 - 34,2,0.3
Non-melanoma skin cancer (rare types),2009,Males,35?39,35 - 39,2,0.3
Non-melanoma skin cancer (rare types),2009,Males,40?44,40 - 44,6,0.8
Non-melanoma skin cancer (rare types),2009,Males,45?49,45 - 49,11,1.4
Non-melanoma skin cancer (rare types),2009,Males,50?54,50 - 54,15,2.1
Non-melanoma skin cancer (rare types),2009,Males,55?59,55 - 59,15,2.3
Non-melanoma skin cancer (rare types),2009,Males,60?64,60 - 64,37,6.4
Non-melanoma skin cancer (rare types),2009,Males,65?69,65 - 69,42,9.8
Non-melanoma skin cancer (rare types),2009,Males,70?74,70 - 74,72,21.8
Non-melanoma skin cancer (rare types),2009,Males,75?79,75 - 79,72,28.5
Non-melanoma skin cancer (rare types),2009,Males,80?84,44690,85,47
Non-melanoma skin cancer (rare types),2009,Males,85?89,85 - 89,68,74.3
Non-melanoma skin cancer (rare types),2009,Males,90+,90 - 90+,16,49.2
Non-melanoma skin cancer (rare types),2009,Males,All ages combined,All - combined,446,4.1
Non-melanoma skin cancer (rare types),2010,Males,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2010,Males,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2010,Males,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2010,Males,15?19,15 - 19,1,0.1
Non-melanoma skin cancer (rare types),2010,Males,20?24,20 - 24,1,0.1
Non-melanoma skin cancer (rare types),2010,Males,25?29,44690,0,0
Non-melanoma skin cancer (rare types),2010,Males,30?34,30 - 34,2,0.3
Non-melanoma skin cancer (rare types),2010,Males,35?39,35 - 39,9,1.1
Non-melanoma skin cancer (rare types),2010,Males,40?44,40 - 44,7,0.9
Non-melanoma skin cancer (rare types),2010,Males,45?49,45 - 49,10,1.3
Non-melanoma skin cancer (rare types),2010,Males,50?54,50 - 54,10,1.4
Non-melanoma skin cancer (rare types),2010,Males,55?59,55 - 59,15,2.3
Non-melanoma skin cancer (rare types),2010,Males,60?64,44690,42,7
Non-melanoma skin cancer (rare types),2010,Males,65?69,65 - 69,55,12.2
Non-melanoma skin cancer (rare types),2010,Males,70?74,70 - 74,60,17.4
Non-melanoma skin cancer (rare types),2010,Males,75?79,75 - 79,73,28.8
Non-melanoma skin cancer (rare types),2010,Males,80?84,80 - 84,86,46.2
Non-melanoma skin cancer (rare types),2010,Males,85?89,85 - 89,39,40.5
Non-melanoma skin cancer (rare types),2010,Males,90+,90 - 90+,24,67.8
Non-melanoma skin cancer (rare types),2010,Males,All ages combined,44690,434,4
Non-melanoma skin cancer (rare types),2011,Males,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2011,Males,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2011,Males,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2011,Males,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2011,Males,20?24,20 - 24,1,0.1
Non-melanoma skin cancer (rare types),2011,Males,25?29,25 - 29,2,0.2
Non-melanoma skin cancer (rare types),2011,Males,30?34,44690,0,0
Non-melanoma skin cancer (rare types),2011,Males,35?39,35 - 39,4,0.5
Non-melanoma skin cancer (rare types),2011,Males,40?44,44690,8,1
Non-melanoma skin cancer (rare types),2011,Males,45?49,45 - 49,9,1.2
Non-melanoma skin cancer (rare types),2011,Males,50?54,50 - 54,11,1.5
Non-melanoma skin cancer (rare types),2011,Males,55?59,55 - 59,26,3.9
Non-melanoma skin cancer (rare types),2011,Males,60?64,60 - 64,39,6.4
Non-melanoma skin cancer (rare types),2011,Males,65?69,44690,52,11
Non-melanoma skin cancer (rare types),2011,Males,70?74,70 - 74,59,16.5
Non-melanoma skin cancer (rare types),2011,Males,75?79,75 - 79,79,30.6
Non-melanoma skin cancer (rare types),2011,Males,80?84,80 - 84,74,38.8
Non-melanoma skin cancer (rare types),2011,Males,85?89,85 - 89,63,62.4
Non-melanoma skin cancer (rare types),2011,Males,90+,90 - 90+,23,60.3
Non-melanoma skin cancer (rare types),2011,Males,All ages combined,44690,450,4
Non-melanoma skin cancer (rare types),2012,Males,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2012,Males,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2012,Males,10?14,44848,1,0.1
Non-melanoma skin cancer (rare types),2012,Males,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2012,Males,20?24,20 - 24,3,0.4
Non-melanoma skin cancer (rare types),2012,Males,25?29,25 - 29,1,0.1
Non-melanoma skin cancer (rare types),2012,Males,30?34,30 - 34,1,0.1
Non-melanoma skin cancer (rare types),2012,Males,35?39,35 - 39,2,0.3
Non-melanoma skin cancer (rare types),2012,Males,40?44,40 - 44,4,0.5
Non-melanoma skin cancer (rare types),2012,Males,45?49,45 - 49,9,1.2
Non-melanoma skin cancer (rare types),2012,Males,50?54,50 - 54,12,1.6
Non-melanoma skin cancer (rare types),2012,Males,55?59,55 - 59,35,5.2
Non-melanoma skin cancer (rare types),2012,Males,60?64,60 - 64,45,7.4
Non-melanoma skin cancer (rare types),2012,Males,65?69,65 - 69,47,9.3
Non-melanoma skin cancer (rare types),2012,Males,70?74,70 - 74,58,15.7
Non-melanoma skin cancer (rare types),2012,Males,75?79,75 - 79,100,37.5
Non-melanoma skin cancer (rare types),2012,Males,80?84,80 - 84,78,40.5
Non-melanoma skin cancer (rare types),2012,Males,85?89,85 - 89,50,47.4
Non-melanoma skin cancer (rare types),2012,Males,90+,90 - 90+,32,76.8
Non-melanoma skin cancer (rare types),2012,Males,All ages combined,All - combined,478,4.2
Non-melanoma skin cancer (rare types),2013,Males,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2013,Males,05?09,44690,1,0.1
Non-melanoma skin cancer (rare types),2013,Males,10?14,44848,1,0.1
Non-melanoma skin cancer (rare types),2013,Males,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2013,Males,20?24,44690,0,0
Non-melanoma skin cancer (rare types),2013,Males,25?29,25 - 29,2,0.2
Non-melanoma skin cancer (rare types),2013,Males,30?34,30 - 34,2,0.2
Non-melanoma skin cancer (rare types),2013,Males,35?39,35 - 39,9,1.2
Non-melanoma skin cancer (rare types),2013,Males,40?44,40 - 44,6,0.7
Non-melanoma skin cancer (rare types),2013,Males,45?49,45 - 49,13,1.7
Non-melanoma skin cancer (rare types),2013,Males,50?54,50 - 54,20,2.6
Non-melanoma skin cancer (rare types),2013,Males,55?59,55 - 59,32,4.7
Non-melanoma skin cancer (rare types),2013,Males,60?64,44690,49,8
Non-melanoma skin cancer (rare types),2013,Males,65?69,65 - 69,62,11.5
Non-melanoma skin cancer (rare types),2013,Males,70?74,70 - 74,73,19.1
Non-melanoma skin cancer (rare types),2013,Males,75?79,75 - 79,74,26.8
Non-melanoma skin cancer (rare types),2013,Males,80?84,80 - 84,121,62.3
Non-melanoma skin cancer (rare types),2013,Males,85?89,85 - 89,70,63.3
Non-melanoma skin cancer (rare types),2013,Males,90+,90 - 90+,41,91.1
Non-melanoma skin cancer (rare types),2013,Males,All ages combined,44690,576,5
Non-melanoma skin cancer (rare types),2014,Males,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2014,Males,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2014,Males,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2014,Males,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2014,Males,20?24,20 - 24,1,0.1
Non-melanoma skin cancer (rare types),2014,Males,25?29,25 - 29,1,0.1
Non-melanoma skin cancer (rare types),2014,Males,30?34,30 - 34,1,0.1
Non-melanoma skin cancer (rare types),2014,Males,35?39,35 - 39,6,0.8
Non-melanoma skin cancer (rare types),2014,Males,40?44,44690,8,1
Non-melanoma skin cancer (rare types),2014,Males,45?49,45 - 49,16,2.1
Non-melanoma skin cancer (rare types),2014,Males,50?54,50 - 54,26,3.4
Non-melanoma skin cancer (rare types),2014,Males,55?59,55 - 59,24,3.4
Non-melanoma skin cancer (rare types),2014,Males,60?64,60 - 64,54,8.7
Non-melanoma skin cancer (rare types),2014,Males,65?69,65 - 69,54,9.7
Non-melanoma skin cancer (rare types),2014,Males,70?74,70 - 74,92,23.1
Non-melanoma skin cancer (rare types),2014,Males,75?79,75 - 79,81,28.3
Non-melanoma skin cancer (rare types),2014,Males,80?84,80 - 84,81,41.3
Non-melanoma skin cancer (rare types),2014,Males,85?89,85 - 89,79,68.7
Non-melanoma skin cancer (rare types),2014,Males,90+,90 - 90+,37,75.7
Non-melanoma skin cancer (rare types),2014,Males,All ages combined,All - combined,561,4.8
Non-melanoma skin cancer (rare types),2015,Males,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2015,Males,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2015,Males,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2015,Males,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2015,Males,20?24,20 - 24,2,0.2
Non-melanoma skin cancer (rare types),2015,Males,25?29,25 - 29,3,0.3
Non-melanoma skin cancer (rare types),2015,Males,30?34,30 - 34,4,0.5
Non-melanoma skin cancer (rare types),2015,Males,35?39,35 - 39,4,0.5
Non-melanoma skin cancer (rare types),2015,Males,40?44,40 - 44,7,0.9
Non-melanoma skin cancer (rare types),2015,Males,45?49,44690,15,2
Non-melanoma skin cancer (rare types),2015,Males,50?54,50 - 54,14,1.8
Non-melanoma skin cancer (rare types),2015,Males,55?59,55 - 59,33,4.6
Non-melanoma skin cancer (rare types),2015,Males,60?64,60 - 64,41,6.5
Non-melanoma skin cancer (rare types),2015,Males,65?69,65 - 69,68,11.9
Non-melanoma skin cancer (rare types),2015,Males,70?74,70 - 74,72,17.3
Non-melanoma skin cancer (rare types),2015,Males,75?79,75 - 79,110,36.9
Non-melanoma skin cancer (rare types),2015,Males,80?84,80 - 84,94,47.5
